Episode: 0, Score: -224.49, 100 score avg: -224.49
Episode: 29184, Score:  247.04, 100 score avg:  190.22
Episode: 29440, Score:  271.74, 100 score avg:  200.09
Episode: 29696, Score:  281.07, 100 score avg:  186.47
Episode: 29952, Score:  162.89, 100 score avg:  198.94
Episode: 30208, Score:  245.95, 100 score avg:  187.72
Episode: 30464, Score:  254.65, 100 score avg:  194.32
Episode: 30720, Score:  251.27, 100 score avg:  170.36
Episode: 30976, Score:   16.94, 100 score avg:  187.61
Episode: 31232, Score:  246.42, 100 score avg:  144.92
Episode: 31488, Score:  270.10, 100 score avg:  161.48
Episode: 31744, Score:  270.26, 100 score avg:  181.54
Episode: 32000, Score:  281.30, 100 score avg:  183.19
Episode: 32256, Score:  285.60, 100 score avg:  184.18
Episode: 32512, Score:  -12.41, 100 score avg:  145.43
Episode: 32768, Score:  182.60, 100 score avg:  176.99
Episode: 33024, Score:  226.15, 100 score avg:  187.80
Episode: 33280, Score:  209.45, 100 score avg:  177.39
Episode: 33536, Score:  197.23, 100 score avg:  178.13
Episode: 33792, Score:  269.68, 100 score avg:  183.54
Episode: 34048, Score:  282.51, 100 score avg:  181.94
Episode: 34304, Score:  -10.23, 100 score avg:  182.63
Episode: 34560, Score:  291.64, 100 score avg:  195.37
Episode: 34816, Score:  286.95, 100 score avg:  189.33
Episode: 35072, Score:  268.90, 100 score avg:  180.90
Episode: 35328, Score:   37.21, 100 score avg:  191.54
Episode: 35584, Score:  233.95, 100 score avg:  183.12
Episode: 35840, Score:   41.96, 100 score avg:  173.63
Episode: 36096, Score:  288.10, 100 score avg:  185.04
Episode: 36352, Score:  249.25, 100 score avg:  164.42
Episode: 36608, Score:   24.50, 100 score avg:  177.96
Episode: 36864, Score:  230.82, 100 score avg:  193.11
Episode: 37120, Score:  263.03, 100 score avg:  189.25
Episode: 37376, Score:  164.30, 100 score avg:  179.98
Episode: 37632, Score:  159.40, 100 score avg:  193.12
Episode: 37888, Score:  148.10, 100 score avg:  184.00
Episode: 38144, Score:   38.04, 100 score avg:  203.67
Episode: 38400, Score:  255.25, 100 score avg:  173.09
Episode: 38656, Score:  246.84, 100 score avg:  200.73
Episode: 38912, Score:  278.51, 100 score avg:  203.20
Episode: 39168, Score:  281.90, 100 score avg:  186.46
Episode: 39424, Score:  149.27, 100 score avg:  211.38
Episode: 39680, Score:  272.03, 100 score avg:  211.91
Episode: 39936, Score:  245.37, 100 score avg:  216.22
Episode: 40192, Score:  149.53, 100 score avg:  201.17
Episode: 40448, Score:  138.73, 100 score avg:  187.62
Episode: 40704, Score:  241.78, 100 score avg:  198.01
Episode: 40960, Score:  170.61, 100 score avg:  217.13
Episode: 41216, Score:  261.48, 100 score avg:  218.60
Episode: 41472, Score:  254.26, 100 score avg:  227.13
Episode: 41728, Score:  160.92, 100 score avg:  212.31
Episode: 41984, Score:  274.39, 100 score avg:  217.41
Episode: 42240, Score:  152.25, 100 score avg:  186.82
Episode: 42496, Score:  289.51, 100 score avg:  196.05
Episode: 42752, Score:  158.38, 100 score avg:  183.55
Episode: 43008, Score:  265.63, 100 score avg:  204.24
Episode: 43264, Score:  144.58, 100 score avg:  202.50
Episode: 43520, Score:  292.04, 100 score avg:  198.10
Episode: 43776, Score:  245.99, 100 score avg:  213.17
Episode: 44032, Score:  174.49, 100 score avg:  208.24
Episode: 44288, Score:  240.50, 100 score avg:  212.95
Episode: 44544, Score:  256.97, 100 score avg:  215.93
Episode: 44800, Score:  130.55, 100 score avg:  208.28
Episode: 45056, Score:  154.32, 100 score avg:  191.81
Episode: 45312, Score:  285.59, 100 score avg:  197.99
Episode: 45568, Score:  271.43, 100 score avg:  223.94
Episode: 45824, Score:  255.90, 100 score avg:  200.54
Episode: 46080, Score:  249.07, 100 score avg:  207.12
Episode: 46336, Score:  268.80, 100 score avg:  214.17
Episode: 46592, Score:  260.07, 100 score avg:  218.13
Episode: 46848, Score:  273.95, 100 score avg:  201.78
Episode: 47104, Score:  157.52, 100 score avg:  213.78
Episode: 47360, Score:  251.93, 100 score avg:  233.17
Episode: 47616, Score:  291.46, 100 score avg:  198.40
