#{"t_start": 1734366089.1017053, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,0.742314
-1.0,1,0.74365
0.0,2,0.745749
-1.0,1,0.746699
-1.0,2,0.748495
-1.0,1,0.749346
-1.0,1,0.750257
-1.0,1,0.751089
-1.0,1,0.751884
1.0,1,0.752785
-1.0,1,0.75362
1.0,2,0.755248
-1.0,1,0.756037
1.0,1,0.756939
1.0,1,0.757647
-1.0,1,0.758348
-1.0,1,0.759087
0.0,1,0.759896
-1.0,1,0.760664
-1.0,1,0.761362
1.0,1,0.762132
-1.0,1,0.762829
1.0,1,0.763493
1.0,1,0.764182
-1.0,3,0.766367
-1.0,1,0.767092
-1.0,2,0.798036
-1.0,1,0.79919
-1.0,1,0.800189
1.0,1,0.801241
-1.0,1,0.802361
-1.0,1,0.803189
-1.0,1,0.804155
-1.0,1,0.805311
-1.0,1,0.806346
-1.0,1,0.80726
-1.0,1,0.808333
0.0,1,0.809127
-1.0,2,0.811325
-1.0,2,0.812927
-1.0,1,0.813772
-1.0,2,0.815616
-1.0,1,0.816633
-1.0,2,0.818742
1.0,1,0.819587
-1.0,1,0.82056
1.0,2,0.822088
-1.0,1,0.822957
-1.0,2,0.824676
-1.0,3,0.828084
-1.0,2,0.829842
0.0,1,0.830581
-1.0,1,0.83127
1.0,2,0.832791
-1.0,1,0.833383
1.0,1,0.834154
0.0,1,0.834892
1.0,2,0.83684
-1.0,1,0.837478
1.0,2,0.839148
1.0,2,0.845139
-1.0,4,0.848982
1.0,2,0.851153
-1.0,1,0.852308
-1.0,1,0.853559
-1.0,1,0.854816
-1.0,1,0.856496
1.0,1,0.857501
-1.0,1,0.858415
-1.0,1,0.859191
-1.0,1,0.860743
-1.0,4,0.864076
1.0,1,0.864948
1.0,1,0.865693
-1.0,1,0.866681
1.0,1,0.86747
-1.0,1,0.868346
1.0,2,0.869938
-1.0,1,0.870681
-1.0,1,0.871428
-1.0,1,0.872318
0.0,1,0.873199
-1.0,1,0.873913
1.0,1,0.874534
1.0,3,0.876594
-1.0,2,0.877921
-1.0,2,0.879976
1.0,2,0.881813
-1.0,2,0.883661
-1.0,1,0.884584
-1.0,1,0.885386
-1.0,1,0.886893
1.0,1,0.887886
-1.0,2,0.889329
-1.0,2,1.110904
0.0,1,1.112028
-1.0,1,1.113103
-1.0,1,1.118388
-1.0,1,1.120134
1.0,1,1.12167
-1.0,2,1.129448
-1.0,1,1.130211
-1.0,2,1.131789
-1.0,1,1.134927
-1.0,1,1.135721
0.0,4,1.141394
-1.0,2,1.143064
-1.0,1,1.14631
1.0,1,1.147126
1.0,1,1.147973
-1.0,1,1.148696
1.0,3,1.159578
-1.0,1,1.16113
1.0,1,1.17055
1.0,2,1.173495
-1.0,1,1.174886
-1.0,1,1.179464
1.0,2,1.181546
-1.0,2,1.18673
-1.0,2,1.18874
-1.0,2,1.193451
1.0,1,1.194468
-1.0,2,1.196221
1.0,2,1.200914
-1.0,1,1.201898
1.0,1,1.202772
-1.0,1,1.209909
-1.0,1,1.213283
-1.0,1,1.214573
-1.0,1,1.215973
0.0,1,1.221751
-1.0,1,1.224798
1.0,2,1.228337
-1.0,1,1.234565
-1.0,1,1.236154
-1.0,1,1.237828
-1.0,1,1.238942
-1.0,1,1.243861
-1.0,2,1.248239
-1.0,2,1.254584
-1.0,1,1.255599
