#{"t_start": 1734366089.057368, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,0.786844
1.0,1,0.788032
-1.0,3,0.791082
-1.0,2,0.792752
-1.0,1,0.793681
-1.0,3,0.796228
-1.0,1,0.797128
1.0,3,0.799609
-1.0,1,0.800425
-1.0,2,0.801999
-1.0,1,0.802724
1.0,2,0.804339
-1.0,1,0.805007
-1.0,1,0.80576
-1.0,1,0.806466
-1.0,1,0.807201
-1.0,1,0.807902
-1.0,1,0.80852
1.0,1,0.809227
-1.0,2,0.810741
-1.0,2,0.84118
-1.0,1,0.842432
1.0,1,0.843691
-1.0,1,0.844668
1.0,1,0.845716
-1.0,1,0.846639
1.0,1,0.847605
-1.0,1,0.848735
-1.0,1,0.849839
1.0,1,0.850809
-1.0,1,0.851683
-1.0,1,0.852648
0.0,2,0.854436
-1.0,1,0.855621
-1.0,1,0.856439
1.0,1,0.85728
-1.0,1,0.858124
1.0,1,0.858811
-1.0,2,0.861015
0.0,1,0.862151
-1.0,1,0.863109
-1.0,1,0.863942
1.0,1,0.864948
1.0,2,0.866452
0.0,3,0.869014
-1.0,1,0.86984
-1.0,2,0.87242
-1.0,1,0.873416
1.0,1,0.874224
1.0,1,0.87499
-1.0,1,0.875632
1.0,1,0.876439
1.0,1,0.877135
1.0,1,0.877713
1.0,1,0.878474
-1.0,1,0.879266
1.0,2,0.881163
-1.0,2,0.882719
1.0,1,0.883462
1.0,1,0.884364
1.0,1,0.889478
-1.0,1,0.890392
-1.0,1,0.891448
0.0,2,0.893366
-1.0,1,0.894584
1.0,1,0.895536
0.0,1,0.896699
-1.0,2,0.899465
-1.0,1,0.900839
1.0,1,0.901933
-1.0,1,0.90278
-1.0,1,0.903556
-1.0,1,0.905234
-1.0,2,0.906888
1.0,1,0.907715
-1.0,1,0.908442
-1.0,2,0.910076
-1.0,1,0.911037
-1.0,1,0.911804
-1.0,2,0.91339
1.0,2,0.915019
-1.0,1,0.915792
1.0,1,0.916582
0.0,1,0.917458
-1.0,2,0.918859
1.0,1,0.919604
1.0,1,0.920286
-1.0,1,0.920914
-1.0,2,0.922688
-1.0,2,0.924388
-1.0,1,0.92535
-1.0,2,0.927129
1.0,1,0.928083
-1.0,1,0.929016
-1.0,2,0.931275
-1.0,1,0.932221
-1.0,2,0.933705
1.0,1,1.15383
-1.0,1,1.155374
-1.0,2,1.157549
-1.0,1,1.162737
1.0,2,1.166095
-1.0,2,1.173768
-1.0,2,1.175401
-1.0,2,1.179292
-1.0,2,1.180879
-1.0,1,1.181577
0.0,1,1.184926
-1.0,1,1.185758
-1.0,2,1.187474
-1.0,3,1.192321
1.0,1,1.193129
-1.0,2,1.197109
-1.0,2,1.205487
1.0,2,1.216547
1.0,3,1.223713
-1.0,2,1.225863
-1.0,2,1.231061
-1.0,1,1.232057
-1.0,1,1.233076
-1.0,1,1.234002
-1.0,3,1.239846
-1.0,2,1.244236
-1.0,1,1.24518
1.0,3,1.254394
-1.0,1,1.257585
-1.0,1,1.258885
1.0,1,1.26029
-1.0,1,1.266335
1.0,1,1.269108
-1.0,2,1.272598
1.0,1,1.278897
1.0,1,1.280481
0.0,2,1.283277
1.0,1,1.288594
0.0,1,1.290396
1.0,1,1.292314
-1.0,1,1.294322
-1.0,2,1.299979
-1.0,1,1.301021
-1.0,2,1.313464
-1.0,1,1.31505
-1.0,1,1.316755
-1.0,1,1.318088
1.0,1,1.322357
-1.0,1,1.323478
-1.0,1,1.32474
1.0,2,1.32978
1.0,1,1.330992
-1.0,1,1.331787
-1.0,1,1.332573
-1.0,2,1.342074
-1.0,1,1.343535
-1.0,1,1.344762
-1.0,1,1.349093
-1.0,1,1.350094
-1.0,1,1.351693
-1.0,1,1.353092
-1.0,1,1.358299
1.0,1,1.361139
1.0,3,1.366856
-1.0,1,1.367816
-1.0,2,1.369456
-1.0,1,1.373085
-1.0,1,1.373863
-1.0,1,1.374718
-1.0,2,1.379082
-1.0,2,1.38083
1.0,3,1.385993
1.0,1,1.386924
-1.0,1,1.387748
-1.0,1,1.391226
-1.0,1,1.392238
0.0,1,1.393035
-1.0,2,1.397373
1.0,2,1.399059
-1.0,1,1.399867
-1.0,1,1.404403
-1.0,1,1.40547
-1.0,1,1.407092
1.0,1,1.40843
-1.0,1,1.421988
1.0,1,1.423764
-1.0,2,1.425833
