#{"t_start": 1734366088.8662477, "env_id": "Blackjack-v1"}
r,l,t
1.0,1,0.978051
0.0,1,0.979314
-1.0,2,0.981184
0.0,1,0.982237
-1.0,1,0.983065
-1.0,2,0.9848
-1.0,1,0.98568
-1.0,1,0.986665
-1.0,1,0.987388
-1.0,1,0.988265
1.0,1,0.98915
-1.0,1,0.990018
-1.0,2,0.991589
-1.0,1,0.992375
-1.0,1,0.993135
-1.0,1,0.993845
1.0,1,0.994612
-1.0,1,0.995428
-1.0,1,0.996176
-1.0,2,0.997622
-1.0,1,0.998324
-1.0,2,0.999689
-1.0,1,1.000348
-1.0,1,1.001162
-1.0,1,1.001867
-1.0,2,1.032356
-1.0,4,1.03673
1.0,2,1.038663
1.0,1,1.03971
1.0,1,1.040829
1.0,2,1.042769
0.0,2,1.044648
1.0,1,1.04548
-1.0,1,1.04679
-1.0,2,1.048435
-1.0,2,1.050188
0.0,2,1.052168
-1.0,1,1.053334
-1.0,1,1.054241
1.0,1,1.055234
-1.0,1,1.056172
-1.0,2,1.057569
1.0,1,1.05849
-1.0,2,1.060168
-1.0,1,1.060991
0.0,2,1.063546
-1.0,1,1.064529
-1.0,1,1.065345
1.0,1,1.06608
-1.0,1,1.06684
-1.0,1,1.067551
-1.0,1,1.068207
-1.0,2,1.069571
-1.0,1,1.070574
1.0,1,1.071515
-1.0,2,1.073007
-1.0,2,1.074632
-1.0,2,1.080537
1.0,1,1.081553
-1.0,2,1.083408
-1.0,1,1.084504
-1.0,1,1.085677
1.0,1,1.086719
1.0,1,1.087837
-1.0,1,1.089051
1.0,2,1.091985
-1.0,1,1.092983
-1.0,3,1.096241
1.0,1,1.097206
1.0,3,1.099597
1.0,1,1.100487
1.0,1,1.101214
-1.0,1,1.102153
-1.0,1,1.102916
1.0,1,1.103846
1.0,1,1.104541
1.0,1,1.105407
-1.0,1,1.106174
1.0,1,1.106944
-1.0,1,1.107667
1.0,1,1.108652
-1.0,1,1.109393
-1.0,1,1.110024
-1.0,1,1.110755
-1.0,2,1.112076
-1.0,1,1.112761
1.0,1,1.113446
-1.0,1,1.114875
0.0,1,1.115408
-1.0,1,1.116465
-1.0,1,1.117336
1.0,2,1.119164
-1.0,2,1.120886
-1.0,2,1.123389
1.0,2,1.124829
