#{"t_start": 1734366088.8657176, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,0.97855
-1.0,1,0.979712
-1.0,1,0.980977
-1.0,1,0.981747
-1.0,1,0.98276
-1.0,2,0.984425
-1.0,1,0.985355
-1.0,1,0.986276
1.0,2,0.987897
-1.0,1,0.988844
-1.0,1,0.98972
1.0,1,0.990596
-1.0,1,0.991282
-1.0,1,0.992098
-1.0,2,0.993701
1.0,1,0.994429
-1.0,1,0.995157
1.0,2,0.996697
1.0,1,0.997441
-1.0,1,0.998179
-1.0,1,0.998841
-1.0,1,0.999565
1.0,2,1.000931
-1.0,1,1.00169
1.0,2,1.003108
-1.0,2,1.034116
1.0,2,1.036297
-1.0,1,1.037339
-1.0,1,1.03829
1.0,1,1.03918
1.0,1,1.040296
-1.0,2,1.042438
1.0,1,1.043332
1.0,1,1.044331
-1.0,1,1.045212
-1.0,1,1.046009
-1.0,2,1.048162
-1.0,1,1.048999
-1.0,2,1.050574
-1.0,1,1.051795
-1.0,1,1.052773
-1.0,1,1.05389
-1.0,2,1.055739
0.0,1,1.056678
-1.0,1,1.05751
-1.0,1,1.058153
-1.0,2,1.059945
-1.0,1,1.060736
1.0,2,1.063156
1.0,2,1.065093
-1.0,1,1.065902
-1.0,1,1.066657
-1.0,1,1.067326
-1.0,1,1.068106
0.0,1,1.068807
-1.0,1,1.06945
1.0,3,1.072018
-1.0,1,1.07289
-1.0,2,1.074376
-1.0,2,1.07599
-1.0,1,1.081088
-1.0,1,1.082126
-1.0,2,1.084001
-1.0,1,1.085088
1.0,1,1.086308
-1.0,1,1.087271
0.0,3,1.090994
-1.0,2,1.093536
-1.0,3,1.096807
-1.0,1,1.097739
-1.0,1,1.098633
-1.0,2,1.10015
-1.0,1,1.101002
1.0,1,1.101729
-1.0,2,1.103474
-1.0,1,1.104438
-1.0,2,1.105956
1.0,2,1.107487
-1.0,1,1.108239
-1.0,1,1.109188
-1.0,1,1.109922
-1.0,1,1.110615
1.0,2,1.111979
-1.0,1,1.112608
-1.0,2,1.113971
-1.0,2,1.116
-1.0,1,1.116965
-1.0,1,1.117859
-1.0,1,1.118825
1.0,1,1.119654
-1.0,2,1.121443
-1.0,1,1.123
-1.0,1,1.123953
-1.0,1,1.124712
1.0,4,1.34805
-1.0,1,1.349143
1.0,1,1.354391
-1.0,1,1.356263
0.0,1,1.35791
1.0,1,1.35946
1.0,2,1.366251
