#{"t_start": 1734366089.0065222, "env_id": "Blackjack-v1"}
r,l,t
1.0,2,0.838865
1.0,1,0.840061
1.0,3,0.842745
-1.0,1,0.843549
0.0,1,0.84454
-1.0,2,0.846282
-1.0,1,0.847018
1.0,3,0.849694
-1.0,2,0.851235
1.0,1,0.852053
1.0,1,0.852863
1.0,1,0.853511
-1.0,1,0.854226
1.0,2,0.855848
1.0,1,0.856577
-1.0,2,0.858011
-1.0,2,0.859361
-1.0,1,0.859999
1.0,1,0.860816
-1.0,2,0.862238
-1.0,3,0.894399
-1.0,2,0.896489
-1.0,1,0.897458
-1.0,2,0.899347
-1.0,1,0.900516
-1.0,2,0.902434
-1.0,2,0.904274
-1.0,1,0.90518
-1.0,1,0.906376
-1.0,1,0.907222
-1.0,1,0.908099
-1.0,1,0.908978
-1.0,1,0.909624
-1.0,1,0.910771
1.0,2,0.912997
1.0,1,0.913939
1.0,1,0.91476
-1.0,3,0.917215
1.0,1,0.918163
1.0,2,0.919894
-1.0,1,0.920682
-1.0,1,0.922329
-1.0,1,0.923269
-1.0,3,0.925796
-1.0,2,0.92721
1.0,2,0.928552
1.0,2,0.930104
0.0,1,0.931105
-1.0,1,0.931973
1.0,1,0.932609
-1.0,1,0.933507
1.0,2,0.935261
-1.0,1,0.940269
-1.0,1,0.941289
-1.0,2,0.943055
-1.0,1,0.9441
-1.0,1,0.945361
-1.0,2,0.947476
-1.0,1,0.948725
1.0,1,0.950443
1.0,1,0.951702
-1.0,1,0.952747
-1.0,2,0.954453
1.0,1,0.955956
-1.0,1,0.956864
1.0,2,0.958572
0.0,1,0.959204
-1.0,2,0.960841
-1.0,1,0.961787
-1.0,1,0.962589
-1.0,1,0.963479
-1.0,2,0.965055
-1.0,1,0.965809
-1.0,1,0.966578
1.0,2,0.968318
1.0,2,0.969746
1.0,1,0.970426
-1.0,1,0.971069
-1.0,1,0.971769
-1.0,1,0.972456
1.0,1,0.97314
-1.0,2,0.975157
1.0,2,0.977011
1.0,1,0.977999
-1.0,3,0.980583
-1.0,1,0.982109
1.0,2,0.983848
-1.0,2,1.204589
-1.0,1,1.206164
-1.0,1,1.207263
-1.0,1,1.208358
-1.0,1,1.213443
-1.0,1,1.215131
-1.0,1,1.216831
-1.0,2,1.224614
-1.0,1,1.225421
-1.0,1,1.226166
-1.0,1,1.226946
1.0,3,1.231635
1.0,2,1.235831
1.0,1,1.236618
-1.0,3,1.241457
0.0,1,1.242241
-1.0,1,1.243106
-1.0,3,1.24792
-1.0,2,1.256319
1.0,1,1.265638
1.0,1,1.267349
-1.0,2,1.269957
0.0,1,1.274443
-1.0,1,1.275723
1.0,1,1.276675
1.0,1,1.277763
1.0,1,1.281809
-1.0,1,1.282879
-1.0,1,1.283825
1.0,1,1.284897
-1.0,1,1.288581
-1.0,3,1.291423
1.0,1,1.295077
-1.0,1,1.296047
-1.0,2,1.297875
-1.0,1,1.305211
0.0,1,1.308562
-1.0,1,1.309741
1.0,1,1.31121
-1.0,2,1.319815
-1.0,1,1.321627
1.0,2,1.329729
-1.0,2,1.33306
-1.0,1,1.334242
-1.0,1,1.339081
-1.0,2,1.343077
-1.0,1,1.345059
-1.0,1,1.349684
-1.0,1,1.350839
-1.0,2,1.352776
-1.0,3,1.367456
1.0,1,1.368886
-1.0,4,1.376446
1.0,1,1.380769
-1.0,1,1.381809
-1.0,2,1.383374
-1.0,1,1.390671
1.0,1,1.392877
-1.0,1,1.394416
-1.0,1,1.395599
-1.0,1,1.399924
1.0,1,1.400923
0.0,2,1.403952
-1.0,1,1.409261
-1.0,1,1.411858
-1.0,1,1.412906
1.0,2,1.417602
-1.0,1,1.418561
1.0,1,1.419478
1.0,1,1.42031
1.0,1,1.423846
1.0,1,1.424666
1.0,1,1.425527
1.0,1,1.426418
-1.0,1,1.429847
1.0,1,1.430838
1.0,1,1.431671
1.0,1,1.432508
-1.0,2,1.436742
-1.0,1,1.437714
1.0,2,1.442043
1.0,1,1.443033
-1.0,1,1.443835
-1.0,1,1.444688
-1.0,1,1.448209
-1.0,1,1.448954
-1.0,1,1.449813
-1.0,2,1.455188
-1.0,1,1.45621
1.0,2,1.459213
1.0,2,1.474572
1.0,1,1.475556
-1.0,2,1.490645
1.0,3,1.496766
1.0,1,1.503764
1.0,2,1.506337
1.0,1,1.507384
-1.0,1,1.511272
1.0,1,1.512533
-1.0,1,1.513435
-1.0,1,1.514287
-1.0,2,1.518526
-1.0,1,1.519295
-1.0,1,1.520067
-1.0,3,1.525216
-1.0,1,1.525978
-1.0,1,1.529437
-1.0,2,1.533821
-1.0,2,1.541916
-1.0,2,1.544052
-1.0,2,1.553757
1.0,1,1.555051
-1.0,1,1.556081
-1.0,4,1.563556
-1.0,1,1.564702
-1.0,1,1.575738
-1.0,1,1.577286
-1.0,1,1.580089
1.0,1,1.582052
-1.0,1,1.588724
-1.0,1,1.589864
1.0,1,1.590919
-1.0,3,1.598938
-1.0,1,1.600833
-1.0,1,1.602352
-1.0,1,1.606458
-1.0,2,1.608317
-1.0,1,1.609164
-1.0,1,1.612734
-1.0,3,1.615267
-1.0,1,1.618827
-1.0,1,1.619832
-1.0,1,1.621771
-1.0,2,1.626516
-1.0,1,1.627569
-1.0,1,1.628442
-1.0,1,1.629238
-1.0,1,1.633012
-1.0,1,1.63455
-1.0,1,1.63545
1.0,2,1.639798
-1.0,1,1.64067
1.0,1,1.641587
0.0,1,1.642389
-1.0,1,1.64582
-1.0,1,1.646863
0.0,1,1.647653
0.0,1,1.648501
1.0,1,1.651861
-1.0,1,1.652915
-1.0,1,1.654117
-1.0,2,1.658984
1.0,1,1.659946
1.0,1,1.660772
-1.0,3,1.665811
1.0,1,1.666707
1.0,1,1.667486
-1.0,2,1.67815
-1.0,1,1.67928
1.0,3,1.686677
-1.0,2,1.68877
-1.0,2,1.693242
1.0,1,1.694093
1.0,1,1.694986
1.0,1,1.698388
-1.0,1,1.699777
1.0,1,1.700627
-1.0,1,1.701479
-1.0,1,1.705025
1.0,3,1.707797
1.0,1,1.711231
