#{"t_start": 1734366089.0450938, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,0.79914
-1.0,2,0.801539
-1.0,1,0.802323
-1.0,2,0.80422
-1.0,3,0.806876
-1.0,2,0.808547
-1.0,1,0.809406
-1.0,2,0.811167
-1.0,1,0.811929
-1.0,1,0.812755
-1.0,1,0.813596
-1.0,1,0.814315
-1.0,1,0.814998
-1.0,1,0.815772
-1.0,1,0.816611
1.0,1,0.817353
-1.0,1,0.818038
1.0,1,0.818793
-1.0,1,0.819487
1.0,1,0.820155
-1.0,2,0.821505
0.0,1,0.822377
-1.0,2,0.823748
-1.0,1,0.853585
-1.0,1,0.854784
1.0,1,0.855901
1.0,2,0.858012
-1.0,2,0.859885
-1.0,2,0.862055
-1.0,1,0.862978
-1.0,2,0.864884
-1.0,1,0.865802
-1.0,1,0.866632
-1.0,1,0.867898
-1.0,1,0.868756
1.0,1,0.869592
-1.0,1,0.870397
1.0,2,0.872369
-1.0,1,0.873402
1.0,1,0.874567
-1.0,1,0.875477
-1.0,4,0.87881
-1.0,1,0.879618
1.0,1,0.880581
-1.0,2,0.882136
-1.0,1,0.883836
1.0,1,0.884752
1.0,1,0.8857
0.0,2,0.887267
-1.0,3,0.889404
-1.0,2,0.890776
-1.0,1,0.891574
-1.0,1,0.892598
-1.0,2,0.8941
1.0,1,0.895054
-1.0,1,0.895762
1.0,1,0.896608
-1.0,1,0.901742
0.0,1,0.902674
-1.0,1,0.903799
-1.0,1,0.904557
1.0,1,0.905694
-1.0,3,0.90902
-1.0,1,0.910236
-1.0,1,0.911491
0.0,1,0.913154
-1.0,2,0.915082
1.0,2,0.917415
-1.0,1,0.918344
-1.0,1,0.919202
-1.0,1,0.919927
-1.0,1,0.920767
-1.0,1,0.921576
-1.0,2,0.923325
-1.0,1,0.924129
-1.0,3,0.92661
-1.0,1,0.927345
-1.0,1,0.928063
-1.0,2,0.929757
-1.0,2,0.931159
1.0,3,0.933246
-1.0,1,0.933931
-1.0,2,0.936004
-1.0,3,0.938512
1.0,2,0.940315
1.0,3,0.943653
-1.0,1,0.944533
0.0,1,0.945329
-1.0,3,1.167605
1.0,2,1.169747
-1.0,1,1.174966
-1.0,1,1.176838
-1.0,3,1.186077
1.0,1,1.186876
-1.0,1,1.187699
1.0,2,1.191608
-1.0,1,1.192438
-1.0,1,1.193174
1.0,1,1.193823
1.0,2,1.198157
-1.0,1,1.19894
-1.0,1,1.199748
-1.0,1,1.202983
1.0,3,1.205324
1.0,2,1.209355
1.0,1,1.216287
-1.0,1,1.217978
1.0,2,1.228729
1.0,3,1.236022
-1.0,1,1.23729
-1.0,1,1.238196
-1.0,1,1.239277
-1.0,1,1.243389
1.0,1,1.244396
1.0,2,1.24635
0.0,1,1.25011
-1.0,1,1.251087
-1.0,2,1.252885
-1.0,1,1.256541
1.0,1,1.257484
-1.0,1,1.25852
-1.0,1,1.25929
-1.0,1,1.266814
1.0,2,1.271136
-1.0,1,1.272552
-1.0,1,1.278713
1.0,1,1.281498
-1.0,1,1.283314
-1.0,2,1.2913
-1.0,1,1.292778
-1.0,2,1.295631
1.0,1,1.300674
-1.0,2,1.304743
-1.0,1,1.306563
-1.0,1,1.311285
-1.0,1,1.312299
1.0,2,1.314263
1.0,1,1.325932
-1.0,1,1.327365
1.0,1,1.329079
-1.0,2,1.334644
-1.0,2,1.337101
-1.0,3,1.343253
-1.0,1,1.344142
-1.0,1,1.34489
-1.0,1,1.352466
-1.0,1,1.354551
1.0,1,1.356169
-1.0,1,1.35719
1.0,2,1.362489
-1.0,2,1.365438
1.0,1,1.37068
1.0,1,1.373395
0.0,1,1.374355
1.0,2,1.379134
-1.0,4,1.385398
-1.0,1,1.386133
-1.0,1,1.386992
-1.0,2,1.391404
-1.0,2,1.393146
1.0,2,1.397385
-1.0,2,1.399141
-1.0,1,1.399997
-1.0,1,1.403494
-1.0,1,1.404501
1.0,1,1.405381
-1.0,1,1.406235
-1.0,3,1.411355
-1.0,1,1.412171
1.0,1,1.416735
-1.0,1,1.417877
1.0,1,1.41946
-1.0,1,1.420869
-1.0,1,1.434444
-1.0,1,1.436136
-1.0,1,1.437117
-1.0,1,1.438096
-1.0,1,1.45194
-1.0,1,1.454832
1.0,1,1.456675
-1.0,1,1.458393
1.0,1,1.465377
