#{"t_start": 1734366089.1383944, "env_id": "Blackjack-v1"}
r,l,t
-1.0,1,1.607539
-1.0,1,1.608552
1.0,1,1.609591
-1.0,2,1.61428
0.0,2,1.615832
-1.0,1,1.619666
-1.0,4,1.625604
-1.0,1,1.626585
-1.0,1,1.627445
-1.0,3,1.632572
-1.0,1,1.633415
-1.0,1,1.634325
1.0,1,1.637665
-1.0,1,1.638771
1.0,2,1.640329
-1.0,1,1.644367
0.0,2,1.651255
-1.0,2,1.657314
-1.0,1,1.658455
-1.0,1,1.659549
-1.0,1,1.661268
1.0,2,1.665833
-1.0,1,1.666624
-1.0,1,1.667522
1.0,1,1.671458
-1.0,1,1.672375
-1.0,1,1.673542
1.0,3,1.679037
1.0,2,1.680878
-1.0,2,1.685446
-1.0,1,1.686308
1.0,1,1.688077
0.0,1,1.691883
-1.0,2,1.693682
1.0,2,1.698309
-1.0,2,1.700202
1.0,1,1.701122
1.0,1,1.704667
1.0,1,1.705527
-1.0,1,1.706499
-1.0,3,1.711933
-1.0,1,1.713499
-1.0,1,1.714478
0.0,1,1.71808
-1.0,1,1.719006
-1.0,2,1.720675
-1.0,1,1.724056
1.0,1,1.724991
-1.0,2,1.726655
-1.0,1,1.730092
1.0,2,1.731965
1.0,1,1.732923
-1.0,1,1.736317
-1.0,2,1.738189
-1.0,1,1.739049
1.0,1,1.742506
-1.0,1,1.743382
-1.0,1,1.744382
-1.0,2,1.748939
-1.0,1,1.749817
0.0,2,1.757371
-1.0,2,1.763211
-1.0,1,1.764283
1.0,1,1.765935
-1.0,1,1.770264
1.0,1,1.771974
-1.0,1,1.774197
-1.0,2,1.78273
1.0,3,1.787879
-1.0,2,1.795716
1.0,2,1.798041
-1.0,1,1.802015
-1.0,1,1.802948
-1.0,1,1.803841
-1.0,3,1.809074
-1.0,1,1.810025
-1.0,1,1.810796
-1.0,1,1.814554
1.0,2,1.816466
-1.0,1,1.817385
-1.0,1,1.820904
-1.0,1,1.821799
1.0,2,1.823536
-1.0,1,1.827147
-1.0,1,1.828403
-1.0,1,1.829272
1.0,1,1.830185
-1.0,1,1.83458
-1.0,1,1.835416
1.0,1,1.836242
-1.0,1,1.836996
-1.0,1,1.840476
1.0,2,1.842408
-1.0,1,1.843322
1.0,1,1.847212
-1.0,2,1.849158
-1.0,1,1.850053
-1.0,1,1.853902
-1.0,1,1.854887
-1.0,1,1.856199
-1.0,1,1.857255
0.0,2,1.868563
-1.0,1,1.869816
0.0,1,1.871208
-1.0,1,1.876085
-1.0,1,1.877041
