#{"t_start": 1734366089.124414, "env_id": "Blackjack-v1"}
r,l,t
-1.0,2,0.721045
-1.0,1,0.722254
1.0,1,0.723111
-1.0,2,0.725012
1.0,1,0.725785
-1.0,1,0.726705
1.0,1,0.727706
-1.0,1,0.728501
-1.0,1,0.729292
-1.0,1,0.73019
-1.0,1,0.731068
-1.0,1,0.73194
-1.0,1,0.732684
-1.0,1,0.733457
-1.0,1,0.734264
1.0,2,0.735713
1.0,1,0.73648
-1.0,1,0.737286
-1.0,1,0.738055
0.0,2,0.739511
-1.0,1,0.740222
-1.0,1,0.740876
-1.0,1,0.741558
-1.0,1,0.742244
-1.0,1,0.74306
1.0,2,0.744512
-1.0,1,0.773936
-1.0,1,0.775458
-1.0,1,0.776593
1.0,2,0.77868
-1.0,1,0.779709
-1.0,1,0.780505
1.0,2,0.782667
1.0,1,0.783764
-1.0,1,0.784679
-1.0,1,0.785611
-1.0,2,0.787354
-1.0,1,0.788672
-1.0,1,0.789507
-1.0,2,0.791154
-1.0,1,0.791919
-1.0,2,0.794245
-1.0,2,0.79619
-1.0,2,0.797987
1.0,2,0.799527
-1.0,1,0.800399
1.0,1,0.801356
1.0,1,0.802104
-1.0,1,0.802868
-1.0,1,0.80447
-1.0,1,0.80545
-1.0,1,0.80641
-1.0,1,0.807208
-1.0,1,0.807991
-1.0,1,0.808683
0.0,3,0.81076
-1.0,1,0.811488
-1.0,1,0.812293
1.0,4,0.815774
1.0,2,0.817364
1.0,4,0.825399
-1.0,1,0.826481
-1.0,2,0.82865
-1.0,1,0.829781
-1.0,1,0.831004
-1.0,2,0.83387
-1.0,1,0.834867
-1.0,1,0.835804
0.0,1,0.836588
1.0,1,0.838141
1.0,1,0.839065
-1.0,2,0.840679
-1.0,1,0.841451
-1.0,2,0.843105
-1.0,1,0.844009
0.0,2,0.845769
1.0,1,0.84651
1.0,2,0.848094
1.0,1,0.848831
-1.0,1,0.849579
-1.0,1,0.850558
1.0,1,0.851293
-1.0,2,0.852628
-1.0,1,0.853316
-1.0,2,0.854657
-1.0,2,0.856756
-1.0,1,0.857361
-1.0,1,0.85827
-1.0,2,0.860185
-1.0,1,0.861018
0.0,2,0.862826
0.0,1,0.864341
-1.0,1,0.865281
-1.0,1,0.866009
-1.0,1,0.866725
1.0,1,1.086908
-1.0,1,1.088404
-1.0,1,1.089501
1.0,1,1.090596
1.0,2,1.097567
-1.0,1,1.099271
-1.0,1,1.100771
-1.0,1,1.1068
-1.0,1,1.107582
-1.0,2,1.109137
-1.0,1,1.112406
-1.0,2,1.113889
-1.0,2,1.118006
-1.0,2,1.119693
1.0,2,1.123679
-1.0,2,1.125367
-1.0,1,1.126094
-1.0,1,1.129321
-1.0,1,1.130125
1.0,1,1.136885
-1.0,1,1.138498
-1.0,2,1.14944
1.0,1,1.150789
1.0,1,1.152202
-1.0,1,1.156811
-1.0,1,1.157995
-1.0,1,1.158891
-1.0,1,1.159955
-1.0,1,1.164055
-1.0,1,1.165082
1.0,1,1.166122
-1.0,1,1.167079
-1.0,1,1.17076
1.0,2,1.172911
1.0,2,1.177273
-1.0,1,1.178259
1.0,1,1.179261
1.0,3,1.190754
-1.0,1,1.192008
-1.0,1,1.193322
-1.0,1,1.19938
1.0,1,1.202274
-1.0,1,1.204034
1.0,2,1.211988
0.0,2,1.215199
-1.0,1,1.216397
-1.0,1,1.221733
1.0,1,1.223711
1.0,1,1.225688
1.0,1,1.227289
1.0,2,1.232999
-1.0,1,1.234042
-1.0,1,1.234954
-1.0,2,1.248091
-1.0,2,1.251267
-1.0,1,1.255347
-1.0,1,1.256486
-1.0,2,1.258816
-1.0,1,1.262882
0.0,1,1.263973
-1.0,1,1.264816
-1.0,2,1.273416
1.0,2,1.276671
1.0,1,1.277904
-1.0,2,1.283125
1.0,2,1.286359
1.0,1,1.291574
-1.0,1,1.294213
1.0,1,1.295115
-1.0,2,1.299835
0.0,1,1.300836
-1.0,2,1.302482
-1.0,2,1.306858
0.0,1,1.307721
-1.0,1,1.308653
-1.0,1,1.312179
-1.0,1,1.313079
1.0,1,1.313871
0.0,2,1.318053
-1.0,1,1.31901
-1.0,2,1.320822
-1.0,1,1.324297
-1.0,1,1.325276
-1.0,2,1.326959
1.0,1,1.330415
-1.0,2,1.332093
-1.0,2,1.337444
-1.0,2,1.340261
1.0,2,1.355438
-1.0,2,1.35785
-1.0,1,1.358838
1.0,1,1.372819
-1.0,3,1.379221
-1.0,1,1.386017
1.0,2,1.388592
-1.0,2,1.393641
0.0,1,1.39466
-1.0,1,1.395586
1.0,1,1.396531
-1.0,2,1.400805
-1.0,1,1.401531
-1.0,1,1.402345
-1.0,1,1.405754
-1.0,1,1.406621
-1.0,1,1.407447
0.0,1,1.408173
-1.0,1,1.412092
-1.0,1,1.414265
-1.0,1,1.416274
1.0,1,1.418026
-1.0,2,1.425096
1.0,1,1.426503
1.0,1,1.429586
1.0,1,1.436071
-1.0,1,1.437167
0.0,1,1.438157
-1.0,2,1.442783
1.0,1,1.444123
-1.0,2,1.446943
1.0,2,1.459643
-1.0,2,1.464376
-1.0,1,1.47102
-1.0,1,1.4721
1.0,3,1.479541
-1.0,1,1.481426
-1.0,1,1.483252
-1.0,1,1.484774
1.0,2,1.489834
-1.0,2,1.491456
1.0,1,1.494974
-1.0,2,1.496676
-1.0,1,1.49747
-1.0,1,1.501196
-1.0,1,1.502178
-1.0,2,1.504915
-1.0,1,1.508832
-1.0,1,1.509754
-1.0,1,1.510631
-1.0,1,1.511425
-1.0,1,1.515254
-1.0,2,1.517663
-1.0,1,1.518533
-1.0,1,1.522031
1.0,1,1.522946
-1.0,1,1.523813
1.0,1,1.524719
-1.0,1,1.52811
-1.0,1,1.529022
1.0,1,1.529892
-1.0,2,1.534114
-1.0,2,1.53644
-1.0,2,1.541225
-1.0,1,1.542147
-1.0,1,1.542954
1.0,2,1.547239
-1.0,1,1.548109
-1.0,2,1.54975
-1.0,1,1.553308
-1.0,1,1.560492
-1.0,1,1.561589
1.0,2,1.567682
-1.0,1,1.568974
1.0,1,1.570119
-1.0,1,1.570941
-1.0,1,1.5745
-1.0,1,1.575469
-1.0,1,1.576262
-1.0,2,1.580544
-1.0,1,1.582043
1.0,3,1.587279
-1.0,1,1.58821
-1.0,1,1.589127
-1.0,1,1.589993
-1.0,1,1.593478
-1.0,2,1.595803
-1.0,1,1.598419
1.0,2,1.603157
-1.0,1,1.60391
1.0,1,1.605642
-1.0,1,1.612857
-1.0,1,1.614142
-1.0,1,1.61518
1.0,2,1.620455
-1.0,2,1.622589
1.0,1,1.623587
1.0,1,1.627409
1.0,1,1.628281
-1.0,2,1.629825
-1.0,2,1.634475
-1.0,1,1.635317
1.0,1,1.636215
-1.0,1,1.639654
-1.0,1,1.640568
-1.0,1,1.641385
1.0,1,1.642317
1.0,1,1.645696
1.0,1,1.646562
-1.0,1,1.647408
-1.0,1,1.648283
1.0,1,1.651706
-1.0,1,1.652768
-1.0,1,1.653588
-1.0,1,1.654265
-1.0,1,1.658385
-1.0,1,1.659554
-1.0,2,1.666254
-1.0,2,1.672456
-1.0,1,1.673623
-1.0,2,1.678869
-1.0,1,1.679835
-1.0,1,1.680672
-1.0,1,1.681473
1.0,1,1.685368
1.0,2,1.68749
1.0,3,1.693046
1.0,2,1.694934
-1.0,2,1.699461
1.0,2,1.702066
0.0,2,1.706851
-1.0,2,1.708808
-1.0,1,1.712303
-1.0,1,1.71332
-1.0,1,1.714194
1.0,2,1.718651
-1.0,1,1.719517
-1.0,1,1.720514
-1.0,1,1.721462
-1.0,1,1.725093
1.0,1,1.726048
-1.0,1,1.727515
1.0,2,1.732046
-1.0,2,1.733853
-1.0,1,1.734651
-1.0,1,1.738115
-1.0,2,1.739868
1.0,1,1.740646
1.0,1,1.744082
-1.0,2,1.745953
1.0,1,1.746904
-1.0,1,1.750322
-1.0,1,1.751283
-1.0,1,1.752234
-1.0,1,1.75305
-1.0,1,1.756478
-1.0,1,1.757482
-1.0,2,1.759217
-1.0,1,1.762948
1.0,1,1.763809
-1.0,1,1.764704
-1.0,1,1.771307
-1.0,1,1.775743
1.0,2,1.778284
-1.0,1,1.779969
-1.0,1,1.784232
1.0,1,1.78594
1.0,1,1.788298
