neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
0,0.0,1,Null,-0.01963578,-0.0031687564,0.013198203,0.0072479513
1,0.0,1,Null,-0.03766695,-0.07154844,0.021440566,0.04101434
5,0.0,1,Null,0.029746497,0.0036245196,0.008907754,0.01873479
6,0.0,1,Null,-0.063870706,-0.09575233,-0.3865355,-0.24485242
8,0.0,1,Null,-0.31401753,-0.49639356,-0.14115325,-0.029938783
10,0.0,1,Null,-0.029642055,0.018674405,-0.09238284,-0.10497876
11,0.0,1,Null,-0.32535022,-0.3503445,-0.27645737,-0.15759526
12,0.0,1,Null,-0.12950343,0.07435731,-0.011316945,0.152303
13,0.0,1,Null,-0.029070267,-0.007583798,-0.039896157,-0.09604335
14,0.0,1,Null,-0.012463839,-0.028590089,-0.104475394,-0.09733116
15,0.0,1,Null,-0.037628546,-0.010344724,-0.00040706404,0.0062030954
16,0.0,1,Null,-0.01838957,0.0071984446,0.006426629,-0.019724134
17,0.0,1,Null,0.030051649,-0.03461331,0.009138548,-0.04176779
18,0.0,1,Null,-0.029593868,-0.06587643,-0.082256466,-0.06420753
19,0.0,1,Null,-0.008302122,-0.026110444,-0.05428248,0.024611324
20,0.0,1,Null,-0.010702467,0.01653445,0.004743239,0.028870674
21,0.0,1,Null,-0.07598458,0.0323718,-0.08496099,-0.0031129338
23,0.0,1,Null,-0.10277993,-0.12707394,-0.19559947,-0.07941641
24,0.0,1,Null,-0.03078925,-0.06153244,-0.0813649,-0.046557818
25,0.0,1,Null,-0.029224256,0.012694765,0.006368248,-0.009899871
26,0.0,1,Null,-0.0077178744,-0.040918075,-0.14998104,-0.06483447
27,0.0,1,Null,-0.0019779445,-0.022416703,-0.027249034,0.016013056
28,0.0,1,Null,-0.010745458,-0.0033037274,0.028904147,-0.010639538
30,0.0,1,Null,-0.01801659,-0.044573903,-0.09543263,-0.11172433
3,0.6920042482172659,7,((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) AND (NOT Left Leg reach ground)),-0.28884125,-0.25870976,-0.22055072,-0.24930754
7,0.9996,2,(V_x High OR V_x Low),0.4447225,0.44249412,0.43690914,0.41977245
32,0.0,1,Null,-0.012669271,-0.0021361099,0.019974766,0.0026589178
33,0.0,1,Null,0.032059498,-0.01246891,0.01971762,-0.045525845
35,0.0,1,Null,-0.12311283,-0.38587034,-0.09144499,-0.11679837
36,0.0,1,Null,0.031018913,0.03701806,0.012985185,-0.037841607
37,0.0,1,Null,-0.001621663,-0.04081032,-0.016914103,0.02776553
38,0.0,1,Null,-0.36084825,-0.33063745,-0.630132,-0.009148348
39,0.0,1,Null,-0.12805778,-0.19494033,-0.14489883,-0.06795638
40,0.0,1,Null,-0.013322289,-0.015024464,-0.035021126,-0.016444547
41,0.0,1,Null,-0.024541639,-0.037772816,0.021597646,-0.039159197
42,0.0,1,Null,0.01125094,-0.047575064,-0.007978346,-0.03100575
2,0.4851164161508989,5,(((NOT Left Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)),-0.508779,-0.31845802,-0.36005887,-0.4515939
9,0.6703969594594594,2,(V_y Low OR V_y Upward),0.012383926,0.033513688,-0.14993136,-0.2754067
44,0.0,1,Null,0.014915378,-0.0983682,-0.05934927,-0.102406956
46,0.0,1,Null,-0.019539384,-0.0032415562,0.029007073,-0.031888474
45,0.0,1,Null,-0.6532539,-0.14507122,-0.16686341,-0.10770367
47,0.0,1,Null,-0.004021275,-0.029505365,0.026409993,0.02622617
48,0.0,1,Null,-0.024965752,-0.014142006,-0.006430195,0.008798322
50,0.0,1,Null,-0.047826592,-0.052267518,0.035187528,-0.17266603
51,0.0,1,Null,-0.3690155,-0.22836858,-0.7084011,-0.59800583
52,0.0,1,Null,-0.007652697,0.007901822,0.00784247,-0.0590711
53,0.0,1,Null,-0.201983,-0.28168175,-0.23549968,-0.22457853
54,0.0,1,Null,-0.0022514698,-0.0129625155,0.011436974,-0.008416299
55,0.0,1,Null,0.008302689,0.029165717,0.012291585,-0.04982052
4,0.6812136325852036,5,(((Left Leg reach ground OR Right Leg reach ground) AND (NOT X Coord Outside Wider Center)) OR Right Leg reach ground),-0.36536613,-0.56858224,-0.74420196,-0.3258975
29,0.9997,2,(V_x High OR V_x Low),0.47696015,0.44571123,0.51775914,0.34288982
22,0.6617016935319323,4,((NOT V_y Upward) AND (V_y High OR Y Coord Far From Ground)),0.63722134,0.7416337,0.5604173,0.6980766
31,0.996,2,(V_x High OR V_x Low),0.41675666,0.39579868,0.51394564,0.518882
60,0.0,1,Null,0.04499729,0.05382509,-0.0027856089,0.020877711
61,0.0,1,Null,0.0025766643,0.0006958445,-0.029815834,-0.00086768245
57,0.5579745202386712,4,(((NOT Left Leg reach ground) AND V_y Low) AND Angular Velocity Low),-0.29652336,-0.063899666,-0.545055,-0.5772821
63,0.0,1,Null,-0.048786525,0.023268392,0.015186686,-0.001132724
64,0.0,1,Null,0.00068957923,-0.0016458542,0.0018006465,0.031931676
65,0.0,1,Null,0.019021943,-0.023008263,-0.011184598,0.026063247
66,0.0,1,Null,-0.02143183,-0.068252705,-0.045465223,-0.07119024
34,0.30618401206636503,3,((V_x Low AND V_y High) AND Angle Near 0),-0.19979899,-0.036954187,-0.10486966,-0.4344358
68,0.0,1,Null,-0.010399557,-0.019574896,-0.02537173,-0.09915276
69,0.0,1,Null,-0.03051101,0.030420724,0.006155935,-0.004412431
43,0.5825757575757575,5,(((V_y High OR X Coord Outside Wider Center) AND Angle Near 0) AND (NOT Right Leg reach ground)),-0.23702878,-0.16415009,-0.24676228,-0.16540709
56,0.5899802241265656,2,(Angle Near 0 AND V_y High),-0.21615876,-0.16783923,-0.24729343,-0.15506175
72,0.0,1,Null,0.013438046,-0.03160697,-0.080241464,-0.1300375
73,0.0,1,Null,0.115697876,0.009322608,0.049163606,-0.07248783
74,0.0,1,Null,-0.10235217,-0.08041184,-0.21985069,-0.13789396
75,0.0,1,Null,-0.00993104,-0.07094103,-0.10464114,-0.07730174
49,0.7531305903398927,7,(((((NOT Left Leg reach ground) AND V_y Low) AND (NOT Right Leg reach ground)) OR X Coord Outside Wider Center) AND V_y Low),-0.46274108,-0.22187875,-0.24462505,-0.38821846
62,0.22720478325859492,8,(((((NOT Right Leg reach ground) AND Angle Near 0) AND V_y Low) AND (NOT Y Coord Far From Ground)) AND (NOT Left Leg reach ground)),-0.33661425,-0.24869835,-0.20411201,-0.35784972
58,0.6306212633220691,7,(((((NOT Right Leg reach ground) AND V_y Low) OR V_x High) AND (NOT V_y Upward)) OR X Coord Outside Wider Center),-0.27483976,-0.22561486,-0.19484203,-0.23682304
59,0.5450975863263656,6,(((((NOT Left Leg reach ground) AND V_x Low) OR V_x High) OR X Coord Outside Wider Center) OR Angular Velocity High),-0.19601673,-0.23788092,-0.034418117,-0.3703297
79,0.0,1,Null,0.026072355,0.010823674,0.027505182,-0.025191821
81,0.0,1,Null,-0.033691008,-0.02493575,-0.09140368,-0.0942595
80,0.0,1,Null,0.032828327,-0.018481364,0.04880825,-0.025435042
83,0.0,1,Null,0.03280582,-0.0032024544,-0.028047696,0.023647126
67,0.6503952295104701,6,(((((NOT Right Leg reach ground) AND V_y Low) OR Y Coord Far From Ground) AND Angle Near 0) OR X Coord Outside Wider Center),-0.33973482,-0.33569327,-0.19340181,-0.2927854
85,0.0,1,Null,0.011542834,0.026374906,0.027252978,0.009082009
86,0.0,1,Null,-0.07211508,-0.08478001,-0.048673227,-0.09527886
87,0.0,1,Null,-0.063977994,-0.043275937,-0.08814823,-0.035856996
88,0.0,1,Null,-0.015232015,-0.0338088,0.008796242,0.043142024
89,0.0,1,Null,0.03295158,-0.027785972,0.035975795,-0.01531889
90,0.0,1,Null,-0.2877994,-0.12021142,0.1812108,-0.30405846
71,0.38443935926773454,2,(Right Leg reach ground AND X Coord In Center),-0.48725435,-0.05636006,-0.17783676,-0.09062591
92,0.0,1,Null,-0.03434622,-0.04349075,-0.10196991,-0.10371509
93,0.0,1,Null,0.02737008,-0.034339614,0.03778987,0.019595876
94,0.0,1,Null,-0.40947884,-0.44670227,-0.11908759,-0.83558905
95,0.0,1,Null,0.008084803,0.01952961,0.014413669,0.004542805
96,0.0,1,Null,-0.031112645,-0.08084789,-0.06812942,-0.038991082
70,0.7667318026380069,7,(((((NOT Left Leg reach ground) AND V_x Low) OR Y Coord Far From Ground) OR V_y High) AND (NOT Left Leg reach ground)),-0.50050986,-0.6388979,-0.4774244,-0.49374315
98,0.0,1,Null,-0.07212614,-0.07396316,-0.040022638,-0.00795414
99,0.0,1,Null,-0.27772832,-0.24882764,-0.31398124,-0.4365239
100,0.0,1,Null,0.03590609,0.030830901,0.04266504,-0.012491095
76,0.44102973458391537,6,((((Large Angle OR V_y High) OR V_x High) AND (NOT V_y Upward)) OR X Coord Outside Wider Center),-0.31672156,-0.1627099,-0.24332012,-0.3772522
102,0.0,1,Null,-0.034265,-0.027645193,-0.047430456,-0.13065219
103,0.0,1,Null,-0.2614179,-0.25801802,-0.3002134,-0.2504947
104,0.0,1,Null,-0.020208683,0.0077126008,-0.0021092133,0.0015923162
105,0.0,1,Null,0.01431095,0.012969365,0.0141391745,-0.024708724
106,0.0,1,Null,0.005280185,-0.2384366,-0.4715506,-0.055932987
107,0.0,1,Null,-0.008244111,0.013176774,0.025437167,0.01842713
77,0.4822990420658059,6,((((NOT Right Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y High)) AND V_x Low),-0.37308204,-0.5342611,-0.3613597,-0.57839876
109,0.0,1,Null,-0.18749855,0.07237881,0.2536985,0.15826415
110,0.0,1,Null,-0.016113514,-0.03346024,-0.10890935,-0.116098754
111,0.0,1,Null,-0.4272732,-0.44021046,-0.3819644,-0.3566556
78,0.43081267649827426,6,((((V_y Low AND Y Coord Near Ground) OR X Coord Outside Wider Center) AND (NOT V_y High)) OR Left Leg reach ground),-0.43547,-0.4422278,-0.4216785,-0.44264552
113,0.0,1,Null,0.009517858,-0.020754,-0.0014660223,-0.0057082917
114,0.0,1,Null,-0.061700124,-0.24212667,-0.36898878,-0.18828782
115,0.0,1,Null,0.039391525,-0.022470629,-0.021012248,-0.012116486
116,0.0,1,Null,-0.0032759542,0.016123397,-0.0335137,0.041065387
117,0.0,1,Null,-0.083206855,-0.39487562,-0.10580394,-0.122897275
118,0.0,1,Null,-0.019862045,0.0067222957,0.017261768,0.016380908
119,0.0,1,Null,-0.095689744,-0.24954148,-0.18693139,-0.14543122
82,0.9997,2,(V_x High OR V_x Low),0.45655945,0.44509014,0.523944,0.4789688
121,0.0,1,Null,0.035544697,-0.027057173,0.028096559,-0.036478486
84,0.9592,2,(V_x High OR V_x Low),0.48385644,0.5225245,0.5493529,0.49241337
123,0.0,1,Null,-0.09281931,0.019468205,0.20491672,0.032339618
124,0.0,1,Null,0.023957442,-0.02249325,0.021769058,0.046405263
125,0.0,1,Null,0.033629853,0.008855019,0.04094186,-0.029261239
126,0.0,1,Null,0.1203016,-0.16184908,-0.020473141,-0.18242261
97,0.8759884974838246,7,(((((NOT Left Leg reach ground) AND V_x Low) OR Y Coord Far From Ground) OR V_y High) AND (NOT Left Leg reach ground)),0.729483,0.76828885,0.57372034,0.6399049
128,0.0,1,Null,-0.023494385,0.02074621,0.02318751,-0.046565317
129,0.0,1,Null,-0.115423754,-0.059969462,-0.024346907,-0.087980665
101,0.6115254237288136,7,(((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) OR V_x High) OR X Coord Outside Wider Center),-0.2789896,-0.2012133,-0.21010019,-0.31337318
