w_nothing top 20:
  neuron  w_nothing
    472   1.033354
    540   0.851972
    236   0.654231
    954   0.627906
    630   0.618429
    519   0.611280
    378   0.594566
    921   0.547459
    257   0.546508
    957   0.544316
    471   0.536104
    433   0.532526
    396   0.524233
    210   0.497581
    515   0.490920
    442   0.490739
    240   0.486711
    367   0.477482
    596   0.463026
    966   0.457025
w_left top 20:
  neuron   w_left
    472 1.015888
    540 0.717149
    378 0.580283
    954 0.579334
    519 0.574247
    236 0.563887
    758 0.541588
    966 0.530299
    272 0.529274
    596 0.515970
    367 0.504548
    257 0.498977
    433 0.491016
    753 0.490978
    240 0.488504
     19 0.486993
    851 0.480728
    921 0.469108
    396 0.467225
    975 0.462992
w_main top 20:
  neuron   w_main
    472 1.163773
    442 0.679682
    851 0.672861
    540 0.631560
    329 0.606722
    821 0.600334
    283 0.577673
    367 0.566936
     14 0.563142
    221 0.561844
    966 0.536505
    236 0.531992
    115 0.523849
    957 0.518923
    396 0.508476
    921 0.507647
    954 0.494879
    243 0.492166
    519 0.490868
    369 0.489437
w_right top 20:
  neuron  w_right
    472 1.106883
    540 0.687122
    471 0.681735
    442 0.666368
    519 0.632695
     19 0.617119
    367 0.589253
    921 0.574327
    485 0.567330
    433 0.563726
    283 0.543175
    596 0.541833
    240 0.541799
    821 0.533895
    954 0.526431
    378 0.502820
    236 0.494790
    210 0.487167
    753 0.481652
    515 0.479774
