neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
821,0.7841433132316424,6,((((X Coord In Center AND Y Coord Near Ground) AND Angle Near 0) OR Angular Velocity High) AND (NOT V_y High)),0.43454283,0.457138,0.6003342,0.5338951
239,0.7819997564243089,6,(((((NOT Right Leg reach ground) AND V_y Low) OR V_x High) OR Large Angle) OR Y Coord Far From Ground),-0.2506785,-0.17100048,-0.11173819,-0.21594061
694,0.7779605263157895,4,(((Left Leg reach ground AND Right Leg reach ground) AND V_x Low) AND X Coord In Center),0.07344365,0.35473147,-0.3160092,0.10466033
809,0.7526828050910906,7,(((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) OR Y Coord Far From Ground) OR Angular Velocity High),-0.21084738,-0.21977375,-0.623859,-0.29183087
753,0.7391178177597214,6,(((((NOT Right Leg reach ground) AND V_y Low) OR Y Coord Far From Ground) AND Angular Velocity Low) OR Y Coord Far From Ground),0.3588404,0.49097803,0.24374983,0.48165187
86,0.7386767844439175,7,((((NOT V_y Upward) AND (V_y High OR Y Coord Far From Ground)) AND (NOT Left Leg reach ground)) OR X Coord Outside Wider Center),-0.32260963,-0.3183205,-0.18045798,-0.16464919
966,0.7282459853105938,7,((((NOT Right Leg reach ground) AND (V_y Low OR Y Coord Near Ground)) OR Angular Velocity High) AND (NOT Left Leg reach ground)),0.457025,0.53029877,0.53650534,0.4198114
851,0.7226072850612004,7,(((((NOT Right Leg reach ground) AND Angle Near 0) AND (NOT V_y Upward)) AND V_x Low) OR V_y High),0.28018567,0.4807281,0.67286086,0.31605324
437,0.7042001787310098,6,((((NOT V_y High) AND V_x Low) AND (NOT Y Coord Far From Ground)) OR V_y Upward),0.042803776,0.17670189,-0.23919836,-0.14750685
520,0.6931558144372789,6,(((((NOT V_y Upward) AND Y Coord Far From Ground) OR V_x High) OR V_y High) OR X Coord Outside Wider Center),-0.41773963,-0.46095547,-0.3163832,-0.3594433
406,0.6924821775761504,5,((((Large Angle OR Y Coord Far From Ground) OR V_x High) OR V_y High) OR X Coord Outside Wider Center),-0.310008,-0.12906295,-0.16968746,-0.36903003
97,0.6887506305700353,5,((((V_x High OR Y Coord Far From Ground) OR V_y High) OR X Coord Outside Wider Center) OR Large Angle),-0.2557605,-0.19791411,-0.1743594,-0.28797045
427,0.6879231273203756,5,((((V_x High OR V_y Low) OR Large Angle) OR Y Coord Far From Ground) OR X Coord Outside Wider Center),-0.28499362,-0.21190634,-0.122729376,-0.39582708
104,0.6876342048755841,5,((((NOT Right Leg reach ground) AND V_y Low) OR Y Coord Far From Ground) OR X Coord Outside Wider Center),-0.083862506,-0.3267256,-0.1326326,-0.15399727
320,0.686344511028943,5,(((Angle Near 0 OR Left Leg reach ground) AND (NOT Right Leg reach ground)) OR V_x High),-0.38911256,-0.406581,-0.18183753,-0.16086182
330,0.6775858646019456,6,((((V_x High OR V_y High) OR Y Coord Far From Ground) AND (NOT V_y Upward)) OR X Coord Outside Wider Center),-0.20656969,-0.18020253,-0.1579474,-0.2356412
807,0.6732221522970422,7,(((((NOT Left Leg reach ground) AND Y Coord Near Ground) OR Large Angle) OR X Coord Outside Wider Center) AND (NOT Left Leg reach ground)),-0.013082731,-0.06679446,-1.0870521,0.03662182
