neuron,iou,feature_length,best lab
41,1.0,2,(V_x High OR V_x Low)
113,0.9883,2,(Angle Near 0 OR Large Angle)
59,0.952,2,(Angle Near 0 OR Large Angle)
63,0.9406,2,(Angle Near 0 OR Large Angle)
122,0.911042944785276,2,(Angle Near 0 OR Angular Velocity Low)
3,0.8919152615650671,2,(Angle Near 0 AND V_y High)
22,0.8881104255986615,2,(V_x Low OR Y Coord Near Ground)
80,0.8830787309048178,1,Left Leg reach ground
96,0.8824043715846994,2,(V_y High OR Y Coord Near Ground)
109,0.8813803019410497,2,(Left Leg reach ground AND Right Leg reach ground)
37,0.8513853904282116,3,((NOT Right Leg reach ground) AND Angle Near 0)
93,0.839471294521239,2,(Angle Near 0 OR V_x Low)
89,0.8394229472832682,3,((NOT Left Leg reach ground) AND Angular Velocity Low)
79,0.8161157024793388,1,Right Leg reach ground
105,0.8003362757461118,2,(V_y Low OR Y Coord Near Ground)
104,0.7859798194370685,1,Y Coord Far From Ground
81,0.7798547813996601,2,(V_x Low AND Y Coord Near Ground)
75,0.7738432483474976,1,Left Leg reach ground
124,0.7535784162290187,2,(Angle Near 0 OR Y Coord Near Ground)
8,0.7261904761904762,3,((NOT V_y Upward) AND Y Coord Far From Ground)
107,0.7201387105060365,3,((NOT Left Leg reach ground) AND Angular Velocity Low)
90,0.699245234744787,3,((NOT Left Leg reach ground) AND Angular Velocity Low)
43,0.697425513450969,3,((NOT V_y Upward) AND Y Coord Far From Ground)
44,0.6935906599952347,2,(Large Angle OR V_y High)
26,0.6774317570165321,2,(X Coord In Center AND Y Coord Far From Ground)
32,0.6389737324373854,2,(Large Angle OR Right Leg reach ground)
9,0.6239441792141021,2,(X Coord In Center AND Y Coord Far From Ground)
46,0.6176470588235294,2,(Left Leg reach ground OR Right Leg reach ground)
49,0.5858999037536092,2,(Angular Velocity High OR Left Leg reach ground)
125,0.5845945945945946,1,Y Coord Far From Ground
14,0.5742971887550201,1,Y Coord Far From Ground
23,0.5589151180311401,2,(Angular Velocity Low OR Y Coord Near Ground)
0,0.5542940320232896,2,(Left Leg reach ground OR Right Leg reach ground)
19,0.5493513100992113,3,((NOT Left Leg reach ground) AND V_x Low)
86,0.4808184143222506,3,((NOT V_y High) AND Y Coord Far From Ground)
4,0.4723506248929978,2,(Angular Velocity High OR Y Coord Far From Ground)
17,0.4713028906577293,2,(V_y High AND Y Coord Far From Ground)
78,0.4522466800072767,2,(Angular Velocity High OR Y Coord Far From Ground)
111,0.4236334405144694,3,((NOT X Coord In Center) AND Y Coord Far From Ground)
34,0.4190709046454767,2,(Angle Near 0 AND Y Coord Far From Ground)
5,0.4156722354813047,2,(X Coord In Center AND Y Coord Far From Ground)
110,0.4131829671398017,3,((NOT Left Leg reach ground) AND Y Coord Near Ground)
11,0.4011756061719324,2,(Large Angle OR V_y High)
94,0.3878887070376432,3,((NOT V_y High) AND Y Coord Far From Ground)
55,0.3742088607594936,2,(X Coord In Center AND Y Coord Far From Ground)
70,0.3650313620071684,2,(V_y High OR Y Coord Near Ground)
82,0.3641179586791453,3,((NOT Right Leg reach ground) AND Y Coord Near Ground)
61,0.3420560747663551,2,(V_x Low AND V_y High)
10,0.3385579937304075,3,((NOT Right Leg reach ground) AND Left Leg reach ground)
40,0.3188490898414562,3,((NOT Left Leg reach ground) AND Angular Velocity High)
74,0.2796052631578947,3,((NOT Y Coord Far From Ground) AND Large Angle)
102,0.2480690595184007,3,((NOT Y Coord Far From Ground) AND Angular Velocity High)
99,0.2137365453613531,3,((NOT Y Coord Far From Ground) AND Angular Velocity High)
28,0.1591173054587688,3,((NOT Angular Velocity Low) AND Large Angle)
