neuron,iou,feature_length,best lab,w_nothing,w_left,w_main,w_right
1,0.0,1,Null,0.056519605,-0.07839935,-0.025595615,0.031832546
2,0.0,1,Null,0.033747047,0.0025838444,0.03685826,0.054055635
6,0.0,1,Null,0.7616787,0.25648952,-0.109744586,-1.1714612
7,0.0,1,Null,0.039059896,0.07188122,-0.04316197,0.062732905
0,0.5874579529072561,5,(((Left Leg reach ground OR Right Leg reach ground) OR Angular Velocity High) AND (NOT Y Coord Far From Ground)),-0.06762751,-0.49408767,-0.77746034,0.348552
12,0.0,1,Null,-0.01920968,-0.07371202,0.02288042,-0.03958716
13,0.0,1,Null,0.08163233,0.022294441,-0.04830236,0.022323191
3,0.8919152615650671,2,(Angle Near 0 AND V_y High),-1.0997528,-1.182017,-0.86942095,-1.2421881
15,0.0,1,Null,-0.6330377,-1.5574495,-0.64315987,-1.3821628
16,0.0,1,Null,0.0074772183,-0.056793213,0.013192007,0.058911514
8,0.7622068965517241,4,((NOT V_y Upward) AND (V_x High OR Y Coord Far From Ground)),2.19704,2.4635203,2.3919024,1.9108431
18,0.0,1,Null,0.06629291,-0.025280455,0.019093541,-0.010666255
9,0.6239441792141021,2,(X Coord In Center AND Y Coord Far From Ground),-0.9542656,-1.0404605,-0.34942296,-0.9070763
20,0.0,1,Null,0.026239084,-0.0987479,-0.052953135,0.053451017
21,0.0,1,Null,-0.001606627,-0.010123818,0.04550966,-0.02204475
4,0.5063334474495036,8,(((((Angular Velocity High OR Y Coord Far From Ground) OR Large Angle) AND (NOT Right Leg reach ground)) OR V_y High) AND (NOT Left Leg reach ground)),1.1615286,0.9511207,1.0598861,1.4238703
10,0.43444006752954417,7,(((((NOT Right Leg reach ground) AND Left Leg reach ground) OR Angular Velocity High) AND (NOT Right Leg reach ground)) AND Y Coord Near Ground),-0.6847253,-0.73837405,-0.98790455,-0.8489222
24,0.0,1,Null,-0.27065015,-1.3794339,-1.4557074,-1.0995852
25,0.0,1,Null,-0.92541176,-1.5101697,-1.4729483,-1.2983037
5,0.4240331491712707,3,((X Coord In Center AND Y Coord Far From Ground) AND V_y Low),-0.9629438,-0.96317565,-0.76463544,-0.7926585
27,0.0,1,Null,-0.85692054,-1.1326894,1.3278501,-0.07844126
11,0.41726797710873353,6,((((Large Angle OR V_y High) OR X Coord Outside Wider Center) AND (NOT Left Leg reach ground)) OR V_y High),-0.36881664,-0.9803171,-0.4208479,-0.52137065
29,0.0,1,Null,-0.8219592,-0.79177755,-0.9322492,-0.97468257
30,0.0,1,Null,0.073723495,0.009816593,0.019311134,-0.030557008
31,0.0,1,Null,-0.003249659,-0.014112869,-0.03344715,-0.088035196
17,0.48554164868364263,3,((V_y High AND Y Coord Far From Ground) AND Angle Near 0),-0.64368707,-0.50802046,-1.2354587,-0.75769734
33,0.0,1,Null,0.053475693,0.042638723,-0.057131093,-0.094818525
19,0.6143980140670252,7,((((NOT Left Leg reach ground) AND (V_y High OR Y Coord Near Ground)) AND (NOT Right Leg reach ground)) OR V_y High),-0.017480701,-0.20316434,0.74801266,-0.19488783
35,0.0,1,Null,0.0044820285,0.07111074,0.0010628267,0.03515044
36,0.0,1,Null,-2.189459,-0.72999555,-0.8025291,-2.113091
22,0.8888424134685768,3,((V_x Low OR Y Coord Near Ground) OR Large Angle),-0.6501477,-0.43678522,-0.38824555,-0.6127223
38,0.0,1,Null,-1.2910777,-0.9568047,-1.6351168,-1.4396894
39,0.0,1,Null,-0.007029504,0.023716453,0.08111232,0.02673382
14,0.5742971887550201,1,Y Coord Far From Ground,-0.5928181,0.30802608,0.35710204,-1.1379968
26,0.6774317570165321,2,(X Coord In Center AND Y Coord Far From Ground),-0.47694075,-0.0050015096,-1.0960814,-0.86469626
42,0.0,1,Null,-0.09899543,0.035189774,0.011512269,0.014970849
23,0.5594616311771796,4,(((Angular Velocity Low OR Y Coord Near Ground) OR X Coord Outside Wider Center) OR V_y Upward),-0.7790235,-0.80418783,-0.44036573,-0.61867607
32,0.6790540540540541,7,((((Large Angle OR Right Leg reach ground) AND (NOT X Coord Outside Wider Center)) OR Right Leg reach ground) AND (NOT Y Coord Far From Ground)),-0.040646978,-0.7871868,0.2768936,0.3703759
45,0.0,1,Null,-0.3508048,-0.43557182,-1.7592553,-1.4249668
28,0.1614457831325301,7,((((NOT Angular Velocity Low) AND Large Angle) AND (NOT Y Coord Far From Ground)) AND (NOT X Coord Outside Wider Center)),-1.1234667,-0.8421234,-1.3737836,-0.8854285
47,0.0,1,Null,0.047031257,0.038048886,-0.059864253,-0.0018008441
48,0.0,1,Null,-1.2892705,-1.2653226,-1.5679878,-1.2930623
40,0.3296903460837887,4,(((NOT Left Leg reach ground) AND Angular Velocity High) AND Y Coord Near Ground),-0.72397417,-0.5236556,-1.2595239,-1.2103672
50,0.0,1,Null,-0.961388,-1.155742,-0.70607275,-1.8169142
51,0.0,1,Null,-0.31663045,-1.3209294,-0.77845204,-0.093529485
52,0.0,1,Null,-2.0736141,-2.5073144,-1.78864,-1.278354
53,0.0,1,Null,0.032982003,0.015475105,0.04638613,0.021477282
54,0.0,1,Null,-1.1497803,-1.3680955,-1.9070567,-1.9839586
37,0.9580817051509769,4,((Angular Velocity High OR Angular Velocity Low) AND (NOT Right Leg reach ground)),1.36247,0.96282625,1.304318,1.383729
56,0.0,1,Null,-0.8665603,-1.051911,-1.0346673,-1.8319489
57,0.0,1,Null,-1.3301808,-1.2270622,-2.1252487,-0.8577472
58,0.0,1,Null,-0.33753994,-1.8066278,-0.14716262,-1.8175143
43,0.7402933563416738,3,((V_y Low AND Y Coord Far From Ground) OR V_y High),-1.2380813,-0.91459996,-0.76494175,-1.315248
60,0.0,1,Null,0.013523287,0.01885007,0.04202227,0.101658404
