neuron,iou,feature_length,best lab
41,1.0,2,(V_x High OR V_x Low)
113,0.9883,2,(Angle Near 0 OR Large Angle)
37,0.9580817051509768,4,((Angular Velocity High OR Angular Velocity Low) AND (NOT Right Leg reach ground))
59,0.952,2,(Angle Near 0 OR Large Angle)
63,0.9406,2,(Angle Near 0 OR Large Angle)
122,0.91531641699786,6,(((((Angular Velocity Low OR V_y Low) OR V_x High) OR Left Leg reach ground) OR Y Coord Far From Ground) OR X Coord Outside Wider Center)
96,0.9020288597157426,4,(((V_y High OR Y Coord Near Ground) OR Large Angle) OR X Coord Outside Wider Center)
109,0.8945022288261516,3,((Left Leg reach ground AND Right Leg reach ground) AND Angular Velocity Low)
3,0.8919152615650671,2,(Angle Near 0 AND V_y High)
22,0.8888424134685768,3,((V_x Low OR Y Coord Near Ground) OR Large Angle)
80,0.8830787309048178,1,Left Leg reach ground
89,0.8548777210427304,5,(((Angular Velocity Low OR V_x High) AND (NOT Left Leg reach ground)) OR Y Coord Far From Ground)
93,0.8480327031170158,4,(((V_x Low OR Y Coord Far From Ground) OR V_y Low) OR V_y Upward)
79,0.8161157024793388,1,Right Leg reach ground
105,0.8093869731800766,4,(((V_y High OR Y Coord Near Ground) OR Large Angle) OR V_x High)
81,0.7904145476961011,3,((V_x Low AND Y Coord Near Ground) OR Left Leg reach ground)
104,0.7859798194370685,1,Y Coord Far From Ground
107,0.78499877840215,10,(((((((NOT Left Leg reach ground) AND (V_x High OR V_y Low)) OR Y Coord Far From Ground) OR Angular Velocity High) AND (NOT Left Leg reach ground)) OR X Coord Outside Wider Center) OR V_y High)
75,0.7738432483474976,1,Left Leg reach ground
124,0.767743979721166,5,((((Angle Near 0 OR Angular Velocity High) OR Left Leg reach ground) OR Right Leg reach ground) OR V_y Upward)
8,0.7622068965517241,4,((NOT V_y Upward) AND (V_x High OR Y Coord Far From Ground))
90,0.750181730070269,5,(((Angular Velocity Low OR X Coord In Center) AND (NOT Left Leg reach ground)) OR Y Coord Far From Ground)
43,0.7402933563416738,3,((V_y Low AND Y Coord Far From Ground) OR V_y High)
44,0.7191435768261965,7,((((Large Angle OR V_y High) AND (NOT Left Leg reach ground)) AND (NOT V_y Upward)) OR V_y High)
32,0.6790540540540541,7,((((Large Angle OR Right Leg reach ground) AND (NOT X Coord Outside Wider Center)) OR Right Leg reach ground) AND (NOT Y Coord Far From Ground))
26,0.6774317570165321,2,(X Coord In Center AND Y Coord Far From Ground)
46,0.6695941853422168,8,(((((Large Angle OR Right Leg reach ground) AND (NOT Y Coord Far From Ground)) OR Left Leg reach ground) AND (NOT V_y High)) OR Left Leg reach ground)
49,0.6272549975621649,5,(((Angular Velocity High OR Left Leg reach ground) OR Right Leg reach ground) AND (NOT Y Coord Far From Ground))
9,0.6239441792141021,2,(X Coord In Center AND Y Coord Far From Ground)
19,0.6143980140670252,7,((((NOT Left Leg reach ground) AND (V_y High OR Y Coord Near Ground)) AND (NOT Right Leg reach ground)) OR V_y High)
