neuron,iou,feature_length,best lab
41,1.0,2,(V_x High OR V_x Low)
113,0.9883,2,(Angle Near 0 OR Large Angle)
37,0.9580817051509768,4,((Angular Velocity High OR Angular Velocity Low) AND (NOT Right Leg reach ground))
59,0.952,2,(Angle Near 0 OR Large Angle)
63,0.9406,2,(Angle Near 0 OR Large Angle)
122,0.9144816458249294,3,((Angle Near 0 OR Angular Velocity Low) OR V_y Low)
96,0.8980234578627281,3,((V_y High OR Y Coord Near Ground) OR Large Angle)
109,0.8945022288261516,3,((Left Leg reach ground AND Right Leg reach ground) AND Angular Velocity Low)
3,0.8919152615650671,2,(Angle Near 0 AND V_y High)
22,0.8888424134685768,3,((V_x Low OR Y Coord Near Ground) OR Large Angle)
80,0.8830787309048178,1,Left Leg reach ground
89,0.8519215264713786,4,((Angular Velocity Low OR V_x High) AND (NOT Left Leg reach ground))
93,0.8442648112145708,3,((V_x Low OR Y Coord Far From Ground) OR V_y Low)
79,0.8161157024793388,1,Right Leg reach ground
105,0.802870090634441,3,((V_y High OR Y Coord Near Ground) OR Large Angle)
81,0.7904145476961011,3,((V_x Low AND Y Coord Near Ground) OR Left Leg reach ground)
104,0.7859798194370685,1,Y Coord Far From Ground
75,0.7738432483474976,1,Left Leg reach ground
124,0.7643951399894348,3,((Angle Near 0 OR Angular Velocity High) OR Left Leg reach ground)
8,0.7622068965517241,4,((NOT V_y Upward) AND (V_x High OR Y Coord Far From Ground))
107,0.7532143302958432,4,((NOT Left Leg reach ground) AND (V_x High OR V_y Low))
90,0.7485153314749727,4,((Angular Velocity Low OR X Coord In Center) AND (NOT Left Leg reach ground))
43,0.7402933563416738,3,((V_y Low AND Y Coord Far From Ground) OR V_y High)
44,0.7140029688273132,4,((Large Angle OR V_y High) AND (NOT Left Leg reach ground))
26,0.6774317570165321,2,(X Coord In Center AND Y Coord Far From Ground)
32,0.67374709591769,4,((Large Angle OR Right Leg reach ground) AND (NOT Y Coord Far From Ground))
46,0.650618258353065,3,((Left Leg reach ground OR Right Leg reach ground) OR Angular Velocity High)
9,0.6239441792141021,2,(X Coord In Center AND Y Coord Far From Ground)
49,0.6188071188071188,3,((Angular Velocity High OR Left Leg reach ground) OR Right Leg reach ground)
19,0.6120910192540729,4,((NOT Left Leg reach ground) AND (V_y High OR Y Coord Near Ground))
125,0.5845945945945946,1,Y Coord Far From Ground
0,0.5796586059743954,3,((Left Leg reach ground OR Right Leg reach ground) OR Angular Velocity High)
14,0.5742971887550201,1,Y Coord Far From Ground
23,0.5594019666867349,3,((Angular Velocity Low OR Y Coord Near Ground) OR V_x Low)
4,0.4876969375110639,4,((Angular Velocity High OR Y Coord Far From Ground) AND (NOT Right Leg reach ground))
17,0.4855416486836426,3,((V_y High AND Y Coord Far From Ground) AND Angle Near 0)
86,0.4808184143222506,3,((NOT V_y High) AND Y Coord Far From Ground)
94,0.4712722298221614,4,(((NOT V_y High) AND Y Coord Far From Ground) AND X Coord In Center)
78,0.4664985590778098,3,((Angular Velocity High OR Y Coord Far From Ground) OR X Coord Outside Wider Center)
111,0.4476595744680851,4,(((NOT X Coord In Center) AND Y Coord Far From Ground) AND V_y Low)
55,0.4433781190019193,3,((X Coord In Center AND Y Coord Far From Ground) AND V_y Low)
110,0.4253154253154253,5,(((NOT Left Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y High))
5,0.4240331491712707,3,((X Coord In Center AND Y Coord Far From Ground) AND V_y Low)
34,0.4221151640284469,3,((Angle Near 0 AND Y Coord Far From Ground) OR X Coord Outside Wider Center)
11,0.4133095359510453,4,(((NOT Left Leg reach ground) AND Large Angle) OR V_y High)
10,0.3998000999500249,4,(((NOT Right Leg reach ground) AND Left Leg reach ground) OR Angular Velocity High)
70,0.3692205344273201,3,((V_y High OR Y Coord Near Ground) OR X Coord Outside Wider Center)
82,0.3681650126483751,5,(((NOT Right Leg reach ground) AND Y Coord Near Ground) AND (NOT V_y Upward))
61,0.3420560747663551,2,(V_x Low AND V_y High)
40,0.3296903460837887,4,(((NOT Left Leg reach ground) AND Angular Velocity High) AND Y Coord Near Ground)
74,0.2891640866873065,4,((Large Angle OR X Coord Outside Wider Center) AND (NOT Y Coord Far From Ground))
102,0.2480690595184007,3,((NOT Y Coord Far From Ground) AND Angular Velocity High)
99,0.2206432311144353,4,(((NOT Angle Near 0) AND Angular Velocity High) OR X Coord Outside Wider Center)
28,0.1613663133097762,5,(((NOT Angular Velocity Low) AND Large Angle) AND (NOT Y Coord Far From Ground))
